Food_code,Seq_num,Additional_food_description,Start_date,End_date
11511550.0,3.0,sugar free,2021-01-01,2023-12-31
11512005.0,1.0,"NS as to form, sweetener or milk",2021-01-01,2023-12-31
11512010.0,2.0,NS as to milk,2021-01-01,2023-12-31
11512030.0,1.0,"almond, coconut, rice, or soy milk",2021-01-01,2023-12-31
11512100.0,8.0,with marshmallows,2021-01-01,2023-12-31
11513385.0,1.0,"almond, coconut, rice, or soy milk",2021-01-01,2023-12-31
11513385.0,2.0,made with water,2021-01-01,2023-12-31
11513801.0,2.0,sugar free,2021-01-01,2023-12-31
11513802.0,3.0,sugar free,2021-01-01,2023-12-31
11513803.0,3.0,sugar free,2021-01-01,2023-12-31
11513804.0,4.0,sugar free,2021-01-01,2023-12-31
11514150.0,7.0,"almond, coconut, rice, or soy milk",2021-01-01,2023-12-31
11514160.0,1.0,made with any milk,2021-01-01,2023-12-31
11514160.0,2.0,with marshmallows,2021-01-01,2023-12-31
11514310.0,6.0,sugar free,2021-01-01,2023-12-31
11514320.0,6.0,sugar free,2021-01-01,2023-12-31
11514325.0,1.0,sugar free,2021-01-01,2023-12-31
11514325.0,2.0,"almond, coconut, rice, or soy milk",2021-01-01,2023-12-31
11514330.0,8.0,sugar free,2021-01-01,2023-12-31
11514330.0,9.0,NS as to milk,2021-01-01,2023-12-31
11514340.0,8.0,sugar free,2021-01-01,2023-12-31
11514350.0,8.0,sugar free,2021-01-01,2023-12-31
11514360.0,7.0,"almond, coconut, rice, or soy milk",2021-01-01,2023-12-31
11514360.0,8.0,sugar free,2021-01-01,2023-12-31
11519040.0,7.0,other flavors,2021-01-01,2023-12-31
11519050.0,4.0,other flavors,2021-01-01,2023-12-31
11519105.0,9.0,other flavors,2021-01-01,2023-12-31
11519200.0,9.0,other flavors,2021-01-01,2023-12-31
11519205.0,8.0,other flavors,2021-01-01,2023-12-31
11519210.0,3.0,other flavors,2021-01-01,2023-12-31
11526000.0,1.0,Ovaltine,2021-01-01,2023-12-31
11531000.0,1.0,"eggnog, NFS",2021-01-01,2023-12-31
11531000.0,2.0,made with whole milk,2021-01-01,2023-12-31
11541110.0,3.0,regular ice cream and/or whole or 2% reduced fat milk,2021-01-01,2023-12-31
11541110.0,4.0,restaurant or ice cream shop,2021-01-01,2023-12-31
11541110.0,5.0,frozen mix,2021-01-01,2023-12-31
11541120.0,3.0,regular ice cream and/or whole or 2% reduced fat milk,2021-01-01,2023-12-31
11541120.0,4.0,restaurant or ice cream shop,2021-01-01,2023-12-31
11541120.0,5.0,frozen mix,2021-01-01,2023-12-31
11541120.0,6.0,NS as to flavor,2021-01-01,2023-12-31
11541130.0,1.0,"reduced fat ice cream and/or 1% low fat, skim, nonfat, or fat free milk",2021-01-01,2023-12-31
11541130.0,2.0,restaurant or ice cream shop,2021-01-01,2023-12-31
11541135.0,1.0,"reduced fat ice cream and/or 1% low fat, skim, nonfat, fat free milk",2021-01-01,2023-12-31
11541135.0,2.0,restaurant or ice cream shop,2021-01-01,2023-12-31
11541135.0,3.0,NS as to flavor,2021-01-01,2023-12-31
11541400.0,1.0,malted milk with ice cream,2021-01-01,2023-12-31
11542100.0,4.0,Burger King,2021-01-01,2023-12-31
11542100.0,5.0,Dairy Queen,2021-01-01,2023-12-31
11542100.0,8.0,McDonald's,2021-01-01,2023-12-31
11542100.0,9.0,Wendy's Frosty Shakes,2021-01-01,2023-12-31
11542100.0,10.0,Jack in the Box,2021-01-01,2023-12-31
11542100.0,11.0,Arby's,2021-01-01,2023-12-31
11542100.0,12.0,Dunkin Donuts,2021-01-01,2023-12-31
11542100.0,13.0,Sonic,2021-01-01,2023-12-31
11542100.0,14.0,from other place,2021-01-01,2023-12-31
11542200.0,3.0,Burger King,2021-01-01,2023-12-31
11542200.0,4.0,Dairy Queen,2021-01-01,2023-12-31
11542200.0,5.0,McDonald's,2021-01-01,2023-12-31
11542200.0,6.0,Wendy's Frosty Shakes,2021-01-01,2023-12-31
11542200.0,7.0,Jack in the Box,2021-01-01,2023-12-31
11542200.0,8.0,Arby's,2021-01-01,2023-12-31
11542200.0,9.0,Dunkin Donuts,2021-01-01,2023-12-31
11542200.0,10.0,Sonic,2021-01-01,2023-12-31
11542200.0,11.0,from other place,2021-01-01,2023-12-31
11542200.0,12.0,NS as to flavor or type,2021-01-01,2023-12-31
11543000.0,1.0,canned,2021-01-01,2023-12-31
11543000.0,2.0,reconstituted dry mix,2021-01-01,2023-12-31
11543000.0,3.0,Hershey's,2021-01-01,2023-12-31
11543000.0,4.0,Chug,2021-01-01,2023-12-31
11543010.0,1.0,canned,2021-01-01,2023-12-31
11543010.0,2.0,reconstituted dry mix,2021-01-01,2023-12-31
